root_id,cell_type,current_predicted_nt,verified_nt,evidence_source,evidence_confidence,pattern,proposed_action
720575940599736492,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940600010668,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940602289198,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940603406258,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940603449010,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940603828704,ORN_DA3,SER,ACH,"Carlsson et al., 2010; Yasuyama et al. 1999",5.0,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: Carlsson et al., 2010; Yasuyama et al. 1999, confidence 5.0/5)"
720575940604559811,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940604621251,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940604876977,ORN_DM3,SER,ACH,"Carlsson et al., 2010; Yasuyama et al. 1999",5.0,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: Carlsson et al., 2010; Yasuyama et al. 1999, confidence 5.0/5)"
720575940604931908,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940604934980,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940605160550,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940605179360,R7,GABA,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted GABA, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940605265120,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940605266865,ORN_DL3,SER,ACH,"Carlsson et al., 2010; Yasuyama et al. 1999",5.0,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: Carlsson et al., 2010; Yasuyama et al. 1999, confidence 5.0/5)"
720575940605343921,ORN_V,SER,ACH,"Carlsson et al., 2010; Yasuyama et al. 1999",5.0,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: Carlsson et al., 2010; Yasuyama et al. 1999, confidence 5.0/5)"
720575940605391328,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940605417696,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940605547488,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940605551584,R1-6,GLUT,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted GLUT, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
720575940605560288,R1-6,ACH,HIST,"Davis et al., 2020",4.0,categorical_blindspot_HIST,"Review for relabel: classifier predicted ACH, literature verifies HIST (source: Davis et al., 2020, confidence 4.0/5)"
