root_id,cell_type,matched_fafb_type,current_predicted_nt,verified_nt,evidence_source,evidence_confidence,pattern,proposed_action
543211,Dm9,Dm9,ACH,GLUT,,,Dm_GLUT_confusion,"Review for relabel: classifier predicted ACH, literature verifies GLUT (source: nan, confidence nan/5)"
13914,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
23083,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
23359,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
23858,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
24153,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
24314,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
24671,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
24963,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
25024,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
25036,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
25137,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
25176,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
26064,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
26242,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
26429,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
27106,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
27133,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
27425,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
28782,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
29648,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
36059,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
40565,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
41715,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
41743,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
52191,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
56542,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
514184,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
529142,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
536264,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
541855,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
568471,hDeltaK,hDeltaK,SER,ACH,,,ORN_SER_confusion,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
